individual,subset,chain,Group,Cell Number,Cell Number Estimated,UMIorCell_code,Read count,UMI count,clonetype,Read/Cell(UMI),UMI/Cell(UMI),Clonetype/Cell(UMI)
O5,CD4NCD31-,TRA,Aged,132288,True,umi,7814078.0,120503,56237,64.84550592101442,1.0,0.4666854767101234
O5,CD4NCD31-,TRB,Aged,141863,True,cell,7315850.0,312177,82370,51.56982440805566,2.2005526458625577,0.5806306084038826
O6,CD4NCD31,TRA,Aged,36341,True,cell,8959210.0,88896,29628,246.53174100877797,2.4461627363033487,0.8152775102501307
O6,CD4NCD31,TRB,Aged,37447,True,cell,6762656.0,182231,33376,180.592731059898,4.8663711378748635,0.8912863513766123
Y-Tx10,CD4NCD31-,TRA,Thymectomized,93408,True,umi,4739749.0,64655,36610,73.30831335550228,1.0,0.5662361766298043
Y-Tx10,CD4NCD31-,TRB,Thymectomized,99453,True,cell,4041219.0,161967,55083,40.634460498929144,1.6285783234291575,0.553859612078067
Y-Tx5,CD8EM,TRA,Thymectomized,100000,,cell,4923349.0,104688,14158,49.23349,1.04688,0.14158
Y-Tx5,CD8EM,TRB,Thymectomized,100000,,cell,3831982.0,226218,17226,38.31982,2.26218,0.17226
O9,CD8N,TRA,Aged,51956,True,cell,1916468.0,61984,25474,36.886365386095925,1.1930094695511586,0.4902994841789206
O9,CD8N,TRB,Aged,51881,True,cell,1138797.0,104785,32193,21.950174437655402,2.019718201268287,0.6205161812609626
